ID,Date,Amount
4,20160101,29.33
4,20160118,29.73
4,20160802,14.96
4,20161212,26.48
21,20160101,63.34
21,20160113,11.77
50,20160101,6.79
71,20160101,13.97
86,20160101,23.94
111,20160101,35.99
111,20160111,32.99
111,20160315,77.96
111,20160416,59.3
111,20160424,134.98
111,20160623,91.92
111,20160722,47.08
111,20160726,71.96
111,20161025,78.47
111,20161206,83.47
111,20170118,84.46
111,20170215,123.96
111,20170221,32.98
111,20170226,23.06
111,20170510,72.99
111,20170620,55.47
112,20160101,11.77
112,20160205,11.77
113,20160101,32.91
113,20170304,15.27
113,20170307,11.49
114,20160101,16.36
114,20160501,28.13
114,20160908,22.97
114,20170210,28.49
114,20170211,28.98
131,20160101,30.32
133,20160101,18.99
133,20160127,14.37
133,20160201,9.77
133,20160302,15.99
133,20160504,47.33
133,20160621,59.74
133,20161111,32.98
151,20160101,13.97
166,20160101,29.53
166,20161130,16.48
166,20161213,36.97
166,20161221,17.98
166,20161224,36.97
166,20170224,11.49
166,20170318,11.88
166,20170527,11.88
181,20160101,43.7
198,20160101,15.76
221,20160101,12.49
228,20160101,25.98
228,20160206,23.54
228,20160211,13.97
228,20160212,27.77
228,20160228,9.98
228,20160311,15.36
228,20160527,21.97
228,20160531,17.3
228,20160708,51.75
228,20160807,36.74
228,20160828,23.97
228,20161229,41.47
228,20170106,29.99
234,20160101,13.97
234,20160204,9.99
226,20160102,35.93
226,20160223,26.73
226,20160420,23.76
226,20160719,24.74
226,20170215,15.49
226,20170505,43.47
243,20160102,17.96
256,20160102,14.99
256,20160302,34.6
256,20160414,29.99
261,20160102,8.77
281,20160102,14.7
297,20160102,14.96
312,20160102,87.74
312,20161221,14.99
314,20160102,3.99
314,20160113,166.89
314,20160113,60.25
333,20160102,15.9
341,20160102,26.14
341,20160727,80.46
350,20160102,46.37
353,20160102,28.76
353,20160212,40.47
367,20160102,44.77
388,20160102,10.77
408,20160102,25.99
425,20160102,14.99
429,20160102,11.77
429,20160711,31.14
429,20170614,59.49
440,20160102,14.96
473,20160102,34.97
489,20160102,47
489,20160117,13.97
502,20160102,15.36
502,20161009,16.99
516,20160102,14.99
487,20160103,11.77
530,20160103,11.97
542,20160103,45.67
558,20160103,49.67
562,20160103,8.97
562,20160623,14.96
564,20160103,40.7
564,20160114,14.96
564,20160121,43.13
564,20160127,14.96
564,20160204,39.33
564,20160411,29.92
564,20160627,37.93
564,20160710,26.73
564,20160714,29.58
564,20160729,14.96
564,20160731,21.97
564,20160828,29.73
564,20160828,27.74
564,20160901,23.54
564,20161013,32.48
564,20161028,24.48
564,20161214,35.97
564,20170110,26.48
564,20170213,28.98
564,20170301,30.98
564,20170305,32.47
564,20170325,25.98
564,20170415,11.88
564,20170531,12.99
581,20160103,14.37
612,20160103,12.49
621,20160103,17.9
621,20160114,14.37
636,20160103,27.92
656,20160103,55.1
656,20170411,93.81
656,20170411,20.98
675,20160103,24.99
687,20160103,12.97
687,20170410,34.41
736,20160103,28.74
755,20160103,52.99
756,20160103,14.37
756,20160706,13.97
756,20160823,42.08
760,20160103,11.77
760,20160202,15.36
760,20170420,26.3
18,20160104,14.96
645,20160104,44.71
645,20160930,6.49
645,20161124,12.99
645,20170319,36.99
703,20160104,121.34
773,20160104,56.27
773,20160120,62.9
773,20160120,15.36
773,20160224,63.95
773,20160224,24.99
773,20160303,15.36
773,20160729,31.03
773,20161217,29.48
773,20161218,28.49
773,20161222,66.97
775,20160104,186.67
789,20160104,27.34
789,20160427,43.13
789,20170330,28.97
795,20160104,13.97
816,20160104,35.31
834,20160104,21.98
836,20160104,59.08
836,20160126,144.08
836,20160601,122.88
836,20161112,140.42
857,20160104,24.94
875,20160104,16.99
881,20160104,36.94
881,20160111,11.77
881,20160602,71.02
881,20160728,45.09
881,20170418,106.03
899,20160104,145.47
913,20160104,12.77
918,20160104,51.87
918,20160214,69.23
918,20161207,15.49
936,20160104,14.99
947,20160104,53.46
947,20160209,20.77
958,20160104,117.1
974,20160104,18.36
989,20160105,14.96
1012,20160105,13.97
1012,20160307,13.77
1012,20160322,14.37
1012,20160503,32.51
1014,20160105,96.36
1034,20160105,33.96
1035,20160105,66.84
1035,20160226,42.09
1050,20160105,21.76
1062,20160105,14.96
1080,20160105,14.99
1099,20160105,14.96
1099,20160203,24.74
1099,20160205,8
1099,20160225,13.97
1099,20160227,27.77
1099,20160318,45.28
1099,20160624,58.68
1099,20160709,14.96
1099,20161230,17.49
1099,20170227,18.49
1099,20170323,10.49
1099,20170617,46.47
1101,20160105,0
1108,20160105,16.3
1108,20160105,13.99
1108,20160214,14.96
1108,20160305,11.58
1108,20160326,6.79
1108,20160413,6.79
1108,20160724,12.25
1108,20160804,20.74
1108,20160824,11.77
1108,20160824,12.25
1108,20160903,14.96
1108,20160909,12.99
1108,20160910,11.49
1108,20161007,5.49
1108,20161118,4.49
1108,20161118,5.49
1108,20170301,5.49
1108,20170306,2.99
1131,20160105,71.63
1150,20160105,37.97
1158,20160105,79.94
1158,20160826,14.99
1167,20160105,47.28
1167,20160111,60.84
1167,20160114,19.94
1167,20160122,24.74
1167,20160210,23.54
1167,20160518,99.19
1167,20160924,76.97
1167,20170418,62.79
1174,20160105,34.9
1188,20160105,43.09
1209,20160105,31.51
1223,20160105,56.51
1240,20160105,36.36
1241,20160105,11.77
1241,20160622,25.74
1241,20160816,41.1
1241,20161221,14.99
1241,20170128,38.97
1251,20160105,6.79
1251,20160115,4.79
1251,20160824,24.5
1251,20160911,35.96
1251,20160925,17.48
1251,20170117,32.47
1251,20170326,58.97
1251,20170505,21.09
1252,20160105,16.99
1252,20160621,26.22
441,20160106,62.45
441,20160213,12.49
441,20160505,6.79
441,20160526,6.79
441,20160813,37.31
441,20160916,23.98
441,20161117,15.48
441,20161120,14.49
441,20161210,14.99
441,20170603,24.48
1115,20160106,19.99
1265,20160106,34.74
1280,20160106,22.7
1283,20160106,79.21
1283,20160624,92.8
1291,20160106,52.3
1291,20160218,52.3
1302,20160106,125.82
1317,20160106,32.98
1322,20160106,27.13
1322,20160108,39.09
1333,20160106,42.49
1333,20161108,29.48
1343,20160106,9.97
1343,20160108,12.97
1343,20170604,12.58
1350,20160106,156
1365,20160106,11.77
1377,20160106,14.37
1377,20160624,24.99
1380,20160106,29.33
1393,20160106,8.77
1393,20160212,28.31
1393,20170102,58.46
1393,20170526,14.47
1395,20160106,8.77
1420,20160106,11.77
1433,20160106,9.98
1446,20160106,19.77
1480,20160106,15.96
1480,20160127,13.77
1483,20160106,163.52
1504,20160106,24.99
1518,20160106,14.96
1528,20160106,10.99
1528,20160225,36.71
1528,20170213,7.49
719,20160107,34.98
1463,20160107,28.37
1540,20160107,10.77
1544,20160107,6.79
1544,20160109,9.58
1544,20160124,19.16
1544,20160213,13.97
1544,20160301,11.77
1560,20160107,12.77
1560,20160315,14.37
1560,20160619,28.74
1560,20160708,14.96
1561,20160107,49.87
1561,20161110,66.94
1568,20160107,27.99
1568,20160624,71.66
1583,20160107,13.7
1583,20160409,11.77
1583,20160725,15.96
1583,20170121,9.49
1583,20170305,11.49
1583,20170325,12.99
1583,20170603,12.58
1583,20170609,9.99
1585,20160107,8.77
1585,20170525,15.99
1596,20160107,35.36
1596,20160620,19.54
1596,20161208,44.96
1596,20170211,32.74
1605,20160107,44.98
1605,20160205,19.96
1605,20160228,26.99
1618,20160107,12.97
1623,20160107,14.99
1623,20160223,29.98
1623,20160505,73.62
1623,20161127,106.42
1623,20170319,30.4
1623,20170321,9.49
1623,20170505,97.95
1627,20160107,11.77
1627,20160122,29.33
1631,20160107,11.77
1631,20160427,23.54
1640,20160107,79.99
1647,20160107,59.98
1647,20160108,27.14
1647,20160109,51.66
1647,20160206,12.97
1647,20160207,26.14
1647,20160224,59.97
1647,20170108,13.99
1647,20170204,22.98
1655,20160107,26.73
1655,20160124,14.96
1655,20160726,15.36
1661,20160107,174.99
1661,20160121,45.35
1661,20160221,17.9
1661,20160228,15.7
1661,20160513,26.73
1661,20160729,31.03
1661,20160814,17.95
1661,20160903,5.78
1661,20161020,29.99
1661,20161021,11.49
1661,20161112,25.49
1661,20170212,14.49
1661,20170609,29.99
1663,20160107,14.96
1663,20160122,14.96
1663,20160914,22.99
1664,20160107,70.42
1668,20160107,13.97
1668,20160207,14.39
1668,20160515,41.95
1668,20160705,43.57
1668,20160731,9.77
1668,20160731,9.77
1668,20161211,14.99
1669,20160107,9.98
1669,20160117,44.32
1669,20160127,39.47
1669,20160305,73.98
1669,20160319,7.98
1669,20160324,12.77
1669,20160410,29.95
1669,20160805,30.54
1669,20160819,12.25
1669,20160819,17.7
1669,20160825,17.37
1669,20160826,26.73
1669,20160911,12.99
1669,20160917,43.92
1669,20160929,11.49
1669,20161006,24.48
1669,20161028,20.99
1669,20161209,27.98
1669,20170310,11.19
1669,20170310,25.98
1669,20170313,33.98
1686,20160107,13.97
1686,20161209,25.98
1686,20170130,28.48
1686,20170220,35.47
1686,20170419,21.22
1686,20170419,12.99
1686,20170428,15.99
1696,20160107,46.48
1696,20160122,35.31
1696,20160203,26.14
1696,20160731,28.93
1696,20160826,23.74
1696,20161114,22.48
1696,20161124,12.99
1705,20160107,11.77
1705,20160223,59.84
1705,20160714,14.79
1705,20160908,10.77
1705,20160911,14.37
1712,20160107,30.97
1733,20160107,11.77
1739,20160107,15.36
1739,20160127,16.7
1753,20160107,0
1758,20160107,11.77
1758,20160221,34.32
1760,20160107,11.99
1760,20160110,9.97
1760,20160114,13.97
1760,20160119,46.08
1760,20160122,5.99
1760,20160129,27.94
1760,20160203,23.98
1760,20160215,55.47
1760,20160314,14.99
1760,20160320,14.96
1760,20160402,14.96
1760,20160404,72.44
1760,20160408,27.94
1760,20160418,14.96
1760,20160418,11.97
1760,20160420,14.96
1760,20160504,12.77
1760,20160508,14.96
1760,20160515,12.77
1760,20160602,41.69
1760,20160627,29.92
1760,20160706,15.36
1760,20160722,15.96
1760,20160731,14.96
1760,20160803,14.96
1760,20160820,29.92
1760,20160906,15.36
1760,20160911,39.97
1760,20160916,25.98
1760,20160927,57.96
1760,20160928,48.46
1760,20161007,12.49
1760,20161025,25.98
1760,20161025,13.99
1760,20161102,12.99
1760,20161123,13.99
1760,20161125,29.98
1760,20161125,7.49
1760,20161217,12.99
1760,20161218,25.98
1760,20161224,12.99
1760,20170102,12.99
1760,20170127,14.99
1760,20170310,42.98
1760,20170412,11.88
1760,20170517,60.45
1760,20170611,37.96
1783,20160108,14.37
1792,20160108,30.36
1792,20160109,59.06
1792,20160128,50.97
1792,20160630,29.73
1809,20160108,31.54
1825,20160108,63.93
1825,20170609,14.49
1828,20160108,26.14
1828,20160122,46.28
1839,20160108,73.3
1845,20160108,17.7
1845,20160125,139.7
1845,20160325,78.22
1845,20160414,52.68
1845,20160624,40.7
1845,20160714,69.63
1845,20160715,26.74
1845,20160722,57.45
1845,20160825,72.82
1845,20160904,49.48
1845,20160924,36.97
1845,20161022,72.95
1845,20170106,24.48
1845,20170107,107.96
1845,20170205,29.06
1845,20170324,8.49
1845,20170406,26.48
1858,20160108,24.98
1858,20160108,28.74
1877,20160108,49.08
1877,20170129,51.96
1890,20160108,12.49
1890,20160205,49.96
1890,20160310,13.58
1890,20160315,12.79
1890,20160416,24.98
1890,20160514,100.93
1890,20160515,32.3
1890,20160516,11.58
1890,20160519,20.76
1890,20160520,28.81
1890,20160606,5.78
1890,20160624,12.25
1890,20160723,4.99
1890,20160724,12.25
1890,20161014,49.96
1890,20161020,11.49
1890,20161024,24.98
1890,20161107,35.96
1890,20161118,12.49
1890,20161120,47.97
1890,20161201,16.98
1890,20170102,53.48
1890,20170106,63.96
1890,20170111,105.95
1890,20170127,66.95
1890,20170209,24.98
1890,20170218,11.02
1890,20170320,5.99
1890,20170328,40.97
1890,20170513,41.97
1894,20160108,14.37
1908,20160108,25.77
1919,20160108,18.99
1919,20160927,14.49
1919,20161129,13.99
1919,20170411,14.49
1928,20160108,64.99
1944,20160108,51.37
1956,20160108,93.57
1971,20160108,18.36
1985,20160108,6.79
1402,20160109,166.3
1763,20160109,12.49
1893,20160109,63.29
1893,20160117,70.62
1893,20160328,38.93
1893,20160519,41.31
1893,20160629,11.77
1893,20160810,17.7
1893,20160827,30.72
1893,20161112,45.47
1893,20161127,25.98
1893,20170113,25.98
1893,20170116,25.98
1893,20170221,23.98
1893,20170228,25.98
1893,20170313,25.98
1893,20170507,15.49
1991,20160109,47.08
1991,20160203,29.97
1991,20160209,68.45
1991,20160302,55.96
1991,20160324,62.93
1991,20160416,40.7
1991,20160621,47.28
1991,20160713,31.76
1991,20160919,56.96
1991,20161123,9.99
1991,20161123,98.98
1991,20161130,39.49
1991,20161227,38.97
1991,20170119,70.47
1991,20170222,56.05
1991,20170407,43.36
1991,20170408,21.99
2005,20160109,17.96
2030,20160109,15.76
2049,20160109,12.97
2053,20160109,15.36
2053,20160213,15.76
2053,20161114,20.98
2053,20170421,16.98
2053,20170508,14.99
2071,20160109,8.77
2072,20160109,27.55
2072,20160111,27.94
2072,20160118,29.78
2072,20160223,14.96
2072,20160919,62.97
2072,20161105,10.98
2072,20170612,20.99
2087,20160109,14.96
2099,20160109,13.97
2099,20160207,13.77
2099,20160305,9.97
2099,20170220,12.49
2102,20160109,3.99
2102,20160320,23.76
2102,20160401,44.69
2102,20160606,45.51
2102,20161223,41.47
2104,20160109,51.86
2104,20160205,11.77
2104,20160217,29.13
2104,20160220,44.49
2109,20160109,28.99
2127,20160109,27.94
2142,20160109,30.54
2161,20160109,52.63
2180,20160109,16.99
2194,20160109,14.3
2194,20160210,22.97
2194,20160509,16.56
2194,20160527,48.94
2194,20160611,39.51
2194,20160616,10.77
2194,20160717,33.86
2199,20160109,36.75
2202,20160109,29.36
2202,20160120,27.13
2217,20160109,46.68
2217,20161102,29.49
2235,20160109,27.77
780,20160110,47.73
780,20160201,23.99
780,20160420,58.97
780,20170110,11.49
2254,20160110,21.54
2272,20160110,12.49
2272,20160204,25.26
2272,20160228,12.49
2289,20160110,16.7
2289,20160701,15.96
2289,20160815,27.77
2294,20160110,28.35
2319,20160110,10.77
2331,20160110,56.87
2331,20160516,14.96
2336,20160110,12.99
2361,20160110,82.96
2361,20160112,34.27
2363,20160110,14.37
2379,20160110,59.97
2389,20160110,35.31
2389,20160211,61.11
2389,20160223,141.6
2389,20160314,37.51
2389,20160322,80.21
2389,20160411,68.05
2389,20160502,62.25
2389,20160515,51.94
2389,20161113,92.95
2389,20161125,24.48
2389,20161203,21.49
2389,20161230,30.98
2389,20170323,41.48
2389,20170627,61.47
2398,20160110,31.98
2419,20160110,13.97
2419,20170614,81.44
2442,20160110,14.96
2445,20160110,19.99
2445,20160727,14.96
2445,20160801,13.97
2445,20161208,24.48
2455,20160110,14.96
2455,20170328,24.98
2457,20160110,13.97
2457,20160128,25.74
2457,20160226,37.9
2457,20160614,44.29
2457,20160629,41.1
2457,20170418,25.98
208,20160111,63.25
208,20170221,70.38
2181,20160111,41.75
2181,20160425,14.99
2471,20160111,21.99
2471,20160722,21.74
2478,20160111,21.77
2492,20160111,11.77
2508,20160111,69.29
2521,20160111,11.77
2537,20160111,24.54
2541,20160111,11.77
2541,20160208,15.7
2541,20160401,24.99
2556,20160111,0
2563,20160111,22.97
2563,20160125,13.97
2568,20160111,22.74
2568,20160124,9.77
2578,20160111,12.49
2578,20160827,50.52
2578,20160830,6.78
2578,20170528,23.99
2591,20160111,58.28
2591,20161119,22.49
2591,20170512,72.04
2597,20160111,17.36
2597,20160601,29.73
2597,20160618,26.14
2597,20160924,10.99
2597,20161120,76.99
2597,20170516,18.64
2597,20170531,26.57
2597,20170622,38.47
2610,20160111,29.92
2625,20160111,35.31
2645,20160111,11.77
2665,20160111,5.78
2681,20160111,15.96
2697,20160111,16.7
2709,20160111,14.37
2725,20160111,58.85
2745,20160111,22.7
2745,20161007,11.99
2745,20161016,14.49
2745,20161120,19.99
2745,20161205,21.49
2745,20170211,24.98
2753,20160111,14.37
2753,20160301,14.96
2753,20160313,13.97
2753,20160711,37.51
2753,20160819,29.92
2753,20170321,27.99
2509,20160112,94.4
2509,20160311,55.28
2509,20170210,95.43
2509,20170307,187.68
2509,20170310,27.98
2509,20170322,50.35
2761,20160112,15.96
2761,20160120,45.88
2761,20160120,192.9
2761,20160203,164.93
2761,20160209,142.96
2761,20160214,308.22
2761,20160217,119.43
2765,20160112,10.77
2786,20160112,78.2
2790,20160112,29.58
2790,20160208,40.9
2790,20160629,31.32
2803,20160112,19.99
2813,20160112,26.73
2813,20160125,30.32
2820,20160112,31.78
2820,20160519,27.73
2820,20160604,26.14
2820,20161008,27.98
2821,20160112,14.96
2845,20160112,27.13
2855,20160112,13.97
2855,20160824,16.36
2855,20170406,12.99
2863,20160112,4.99
2871,20160112,59.85
2871,20160115,11.77
2871,20161103,38.47
2871,20161112,195.37
2888,20160112,11.77
2903,20160112,23.54
2903,20160317,37.3
2903,20160323,14.37
2903,20160404,53.48
2903,20160423,14.37
2903,20160505,41.1
2903,20170124,24.48
2904,20160112,59.54
2920,20160112,16.7
2932,20160112,46.47
2932,20160222,38.77
2958,20160112,12.49
2958,20160602,62.97
2958,20160731,42.9
2961,20160112,26.14
2965,20160112,28.74
2965,20160927,64.45
2965,20170225,93.46
2983,20160112,47.48
3005,20160112,166.75
3008,20160112,11.77
3008,20160113,11.77
3011,20160112,9.98
3011,20160901,9.77
3011,20160901,14.96
3011,20160918,17.99
3011,20170322,29.48
3021,20160112,44.88
3021,20160221,90.83
858,20160113,26.73
2224,20160113,99.83
2224,20160127,79.72
2274,20160113,43.53
2390,20160113,26.99
2390,20160209,41.82
2390,20161021,12.49
2574,20160113,14.37
3001,20160113,15.9
3001,20160330,14.9
3001,20160612,14.99
3001,20160702,31.6
3016,20160113,21.54
3016,20160908,25.74
3016,20161016,31.98
3016,20161105,29.47
3016,20161121,7.49
3028,20160113,23.49
3028,20160118,11.77
3028,20160125,5.78
3028,20160315,50.71
3028,20160321,9.77
3028,20160329,13.97
3028,20160401,14.37
3028,20160518,13.77
3028,20160617,24.02
3028,20160621,6.79
3028,20160716,13.97
3028,20160730,11.77
3028,20160730,12.25
3028,20160812,12.77
3028,20160812,14.79
3028,20160816,11.77
3028,20170114,5.99
3030,20160113,31.97
3047,20160113,15.36
3060,20160113,14.79
3076,20160113,18.36
3087,20160113,14.37
3099,20160113,59.66
3099,20160522,151.98
3099,20160528,48.28
3099,20160529,62.04
3102,20160113,17.76
3102,20160209,28.73
3102,20160820,15.76
3102,20160831,14.37
3106,20160113,33.38
3106,20160203,36.67
3112,20160113,40.11
3134,20160113,0
3157,20160113,179.98
3157,20160305,30.33
3157,20160819,19.55
3157,20160822,52.03
3157,20161015,17.49
3157,20161019,8.99
3157,20161019,19.49
3157,20170115,12.49
3157,20170224,36.48
3157,20170327,38.98
3158,20160113,30.72
3163,20160113,44.3
3163,20160117,36.99
3163,20160313,15.99
3163,20160923,59.98
3163,20160924,11.99
3163,20160924,12.99
3163,20160925,46.98
3163,20161027,13.99
3163,20161027,13.99
3163,20161124,24.98
3163,20170106,11.99
3163,20170304,22.49
3163,20170304,25.16
3163,20170309,22.49
3163,20170325,12.99
3171,20160113,26.94
3182,20160113,69.22
3182,20160210,58.68
3182,20160918,71.45
3183,20160113,15.36
3183,20160116,20.75
3199,20160113,29.73
3238,20160113,15.36
3238,20160118,18.99
3238,20161023,44.48
3238,20170301,42.48
3238,20170301,59.49
3242,20160113,20.99
3262,20160113,12.77
1417,20160114,35.31
1417,20160501,76.41
1417,20161213,282.78
1417,20161213,76.94
2092,20160114,53.25
2092,20160122,12.97
2092,20161129,61.41
2092,20170109,35.96
2092,20170222,32.94
2939,20160114,19.28
3219,20160114,126.9
3287,20160114,38.13
3298,20160114,69.97
3298,20160222,12.77
3298,20160624,26.49
3298,20160912,20.99
3299,20160114,5.99
3299,20160925,31.48
3311,20160114,15.36
3311,20160519,69.84
3311,20170613,23.76
3312,20160114,23.99
3318,20160114,14.37
3318,20160207,14.37
3318,20170321,11.49
3333,20160114,13.97
3353,20160114,15.36
3374,20160114,11.77
3376,20160114,84.94
3376,20160131,14.99
3376,20160202,74.95
3376,20160212,59.96
3376,20160213,29.98
3376,20160213,15.36
3388,20160114,14.37
3400,20160114,57.1
3400,20160517,28.73
3400,20160913,22.48
3400,20161109,51.43
3400,20170215,42.46
3400,20170511,64.44
3403,20160114,51.15
3415,20160114,48.51
3415,20160115,50.97
3415,20160626,92.17
3415,20160727,137.05
3415,20170309,222.3
3425,20160114,14.7
3444,20160114,28.74
3451,20160114,29.58
3451,20160602,29.75
3451,20161007,12.99
3467,20160114,52.27
3469,20160114,12.49
3469,20160510,48.94
3469,20161130,42.97
3469,20161208,12.49
3487,20160114,15.36
3487,20170630,11.88
3497,20160114,10.77
3497,20160421,53.27
3497,20160826,68.22
3497,20170509,12.58
3322,20160115,57.51
3341,20160115,53.54
3341,20160318,41.77
3496,20160115,6.79
3496,20160116,7.98
3496,20160121,10.77
3496,20160203,28.93
3496,20170118,53.96
3496,20170304,55.45
3496,20170325,25.98
3496,20170407,12.99
3496,20170407,25.48
3496,20170412,50.25
3496,20170428,56.99
3496,20170621,30.98
3501,20160115,12.49
3501,20160129,36.28
3501,20160130,35.55
3501,20160210,30.32
3501,20160210,50.14
3501,20160213,28.74
3501,20160222,40.05
3501,20160301,12.77
3501,20160307,24.47
3501,20160313,28.54
3501,20160316,24.98
3501,20160319,33
3501,20160319,45.98
3501,20160327,24.98
3501,20160328,29.99
3501,20160408,26.99
3501,20160410,14.96
3501,20160410,19.99
3501,20160411,11.77
3501,20160427,21.54
3501,20160427,29.99
3501,20160428,12.49
3501,20160429,20.37
3501,20160430,24.98
3501,20160430,6.99
3501,20160501,27.97
3501,20160519,83.94
3501,20160525,50.97
3501,20160528,20.37
3501,20160620,44.29
3501,20160620,40.97
3501,20160725,25.98
3501,20170105,41.96
3501,20170105,24.98
3501,20170427,12.99
3510,20160115,23.99
3525,20160115,19.97
3545,20160115,12.7
3556,20160115,39.96
3558,20160115,119.76
3558,20160120,92.79
3558,20160130,36.5
3558,20160208,94.57
3558,20160319,13.97
3558,20160622,59.28
3558,20161012,24.49
3571,20160115,14.7
3584,20160115,64.23
3584,20160120,11.77
3584,20160424,9.98
3587,20160115,14.96
3601,20160115,15.36
3612,20160115,26.14
3614,20160115,49.28
3614,20160123,13.97
3614,20160205,66.22
3614,20160207,48.9
3614,20160207,49.28
3614,20160910,36.48
3614,20160924,10.49
3614,20161126,113.9
3614,20161215,20.98
3629,20160115,11.99
3656,20160115,11.77
3656,20170401,9.49
3656,20170414,13.99
3656,20170515,11.49
3656,20170515,12.99
3660,20160115,8.77
3660,20160621,9.77
3660,20170319,14.42
3674,20160115,30.13
3690,20160115,19.99
3704,20160115,27.99
3726,20160115,29.98
3669,20160116,39.7
3669,20160315,15.7
3669,20160623,15.7
3669,20161121,22.49
3755,20160116,21.98
3775,20160116,39.3
3794,20160116,15.36
3805,20160116,6.79
3805,20160623,4.79
3809,20160116,17.9
3819,20160116,128.36
3819,20160215,130.09
3819,20160623,27.94
3820,20160116,29.33
3820,20160324,12.77
3824,20160116,7.98
3838,20160116,11.56
3853,20160116,41.9
3876,20160116,44.12
3891,20160116,9.99
3902,20160116,46.68
3902,20160203,242.98
3911,20160116,23.99
3911,20160306,58.46
3911,20160701,13.97
3912,20160116,15.36
3926,20160116,17.36
3944,20160116,19.99
3955,20160116,7.78
3965,20160116,24.99
3965,20160221,9.77
3965,20160331,9.77
3970,20160116,47.48
3970,20160129,19.74
3970,20160311,58.06
3970,20160410,63.31
3970,20160805,26.14
3970,20161001,38.97
3975,20160116,15.96
584,20160117,11.77
3138,20160117,13.97
3138,20160409,176.45
3138,20161031,40.46
3138,20170507,125.92
3993,20160117,15.99
3993,20160403,30.99
3993,20160426,4.79
3993,20160519,43.48
3993,20161120,33.99
3993,20170218,31.97
3997,20160117,18.77
4005,20160117,14.37
4005,20160426,24.74
4005,20170309,21.48
4019,20160117,6.78
4019,20170324,23.48
4037,20160117,14.37
4053,20160117,11.77
4070,20160117,14.37
4087,20160117,12.97
4090,20160117,14.96
4090,20160117,14.37
4090,20160226,13.77
4090,20170204,29.48
4090,20170327,21.99
4096,20160117,27.55
4096,20160331,13.97
4101,20160117,8.79
4101,20160620,16.7
4105,20160117,15.36
4141,20160117,20
4160,20160117,14.99
4165,20160117,34.66
4165,20160123,17.3
4165,20160325,14.96
4165,20160501,28.34
4165,20160523,73.02
4165,20160701,45.43
4165,20160712,59.25
4165,20160726,14.96
4165,20160816,72.03
4165,20160901,13.97
4165,20160910,12.99
4165,20160929,55.97
4165,20161117,11.49
4165,20161118,11.49
4165,20161208,28.97
4165,20161211,11.49
4165,20170102,33.47
4165,20170226,17.49
4165,20170415,12.99
4165,20170519,13.99
4165,20170529,26.99
4165,20170625,12.99
4179,20160117,13.97
4198,20160117,43.69
4203,20160117,19.76
4203,20160117,6.79
4203,20160127,12.49
4203,20160201,41.68
4203,20160419,12.77
4203,20160823,24.49
4203,20161019,61.97
4203,20161205,29.48
4203,20170124,12.49
4214,20160117,14.37
4231,20160117,30.73
1750,20160118,20.97
1750,20160505,100.59
2046,20160118,17.88
2046,20160224,14.79
2046,20160330,29.37
2046,20161218,27.98
2839,20160118,14.37
4124,20160118,42.73
4253,20160118,15.36
4285,20160118,15.36
4287,20160118,15.36
4287,20160718,189.64
4288,20160118,24.14
4288,20160118,25.77
4288,20160218,23.54
4309,20160118,33.31
4309,20161215,38.97
4316,20160118,25.77
4316,20160221,16.96
4316,20160419,14.37
4316,20160616,11.77
